Trddt,Yield
2006/7/10,1.69
2006/7/11,1.685
2006/7/12,1.698
2006/7/13,1.715
2006/7/14,1.719
2006/7/17,1.721
2006/7/18,1.72
2006/7/19,1.73
2006/7/20,1.731
2006/7/21,1.739
2006/7/24,1.86
2006/7/25,1.872
2006/7/26,1.88
2006/7/27,1.87
2006/7/28,1.89
2006/7/31,1.895
2006/8/1,1.8945
2006/8/2,1.895
2006/8/3,1.89
2006/8/4,1.89
2006/8/7,1.89
2006/8/8,1.89
2006/8/9,1.885
2006/8/10,1.865
2006/8/11,1.85
2006/8/14,1.85
2006/8/15,1.835
2006/8/16,1.81
2006/8/17,1.805
2006/8/18,1.79
2006/8/21,1.852
2006/8/22,1.831
2006/8/23,1.826
2006/8/24,1.821
2006/8/25,1.815
2006/8/28,1.815
2006/8/29,1.81
2006/8/30,1.81
2006/8/31,1.809
2006/9/1,1.819
2006/9/4,1.801
2006/9/5,1.798
2006/9/6,1.798
2006/9/7,1.799
2006/9/8,1.798
2006/9/11,1.799
2006/9/12,1.789
2006/9/13,1.783
2006/9/14,1.793
2006/9/15,1.791
2006/9/18,1.781
2006/9/19,1.775
2006/9/20,1.765
2006/9/21,1.735
2006/9/22,1.739
2006/9/25,1.74
2006/9/26,1.75
2006/9/27,1.68
2006/9/28,1.7
2006/9/29,1.7
2006/9/30,1.69
